iter	Passed	Remaining
0	1	205
1	1	128
2	1	101
3	1	86
4	2	85
5	2	77
6	2	72
7	2	67
8	3	64
9	3	62
10	3	59
11	3	57
12	3	56
13	4	55
14	4	53
15	4	52
16	4	51
17	5	50
18	5	49
19	5	49
20	5	48
21	5	47
22	6	46
23	6	46
24	6	45
25	6	45
26	6	44
27	7	44
28	7	43
29	7	43
30	7	42
31	8	42
32	8	41
33	8	41
34	8	40
35	8	40
36	9	40
37	9	39
38	9	39
39	9	38
40	9	38
41	10	38
42	10	37
43	10	37
44	10	36
45	10	36
46	11	36
47	11	36
48	11	35
49	11	35
50	12	35
51	12	34
52	12	34
53	12	34
54	12	33
55	13	33
56	13	33
57	13	33
58	13	32
59	13	32
60	14	32
61	14	32
62	14	31
63	14	31
64	15	31
65	15	30
66	15	30
67	15	30
68	15	30
69	16	29
70	16	29
71	16	29
72	16	29
73	17	28
74	17	28
75	17	28
76	17	28
77	17	27
78	18	27
79	18	27
80	18	27
81	18	26
82	18	26
83	19	26
84	19	26
85	19	25
86	19	25
87	19	25
88	20	25
89	20	24
90	20	24
91	20	24
92	21	24
93	21	23
94	21	23
95	21	23
96	21	23
97	22	22
98	22	22
99	22	22
100	22	22
101	23	22
102	23	21
103	23	21
104	23	21
105	23	21
106	24	20
107	24	20
108	24	20
109	24	20
110	24	19
111	25	19
112	25	19
113	25	19
114	25	19
115	25	18
116	26	18
117	26	18
118	26	18
119	26	17
120	27	17
121	27	17
122	27	17
123	27	17
124	27	16
125	28	16
126	28	16
127	28	16
128	28	15
129	29	15
130	29	15
131	29	15
132	29	15
133	30	14
134	30	14
135	30	14
136	30	14
137	30	13
138	31	13
139	31	13
140	31	13
141	31	12
142	31	12
143	32	12
144	32	12
145	32	12
146	32	11
147	33	11
148	33	11
149	33	11
150	33	10
151	33	10
152	34	10
153	34	10
154	34	10
155	34	9
156	35	9
157	35	9
158	35	9
159	35	8
160	35	8
161	36	8
162	36	8
163	36	8
164	36	7
165	36	7
166	37	7
167	37	7
168	37	6
169	37	6
170	37	6
171	38	6
172	38	5
173	38	5
174	38	5
175	39	5
176	39	5
177	39	4
178	39	4
179	39	4
180	40	4
181	40	3
182	40	3
183	40	3
184	41	3
185	41	3
186	41	2
187	41	2
188	41	2
189	42	2
190	42	1
191	42	1
192	42	1
193	42	1
194	43	1
195	43	0
196	43	0
197	43	0
198	44	0
199	44	0
